,year,state,n_killed,n_injured
106095,2016,Nevada,0,2
106096,2016,Illinois,0,2
106097,2016,Illinois,0,1
106098,2016,New York,0,0
106099,2016,Missouri,1,0
106100,2016,Iowa,0,0
106101,2016,Michigan,0,0
106102,2016,Illinois,1,0
106103,2016,Ohio,1,0
106104,2016,Idaho,0,0
106105,2016,Missouri,0,0
106106,2016,North Carolina,1,0
106107,2016,Illinois,0,1
106108,2016,North Carolina,1,0
106109,2016,Illinois,0,2
106110,2016,Pennsylvania,1,0
106111,2016,Missouri,0,1
106112,2016,North Carolina,0,0
106113,2016,California,0,0
106114,2016,North Carolina,0,1
106115,2016,California,0,0
106116,2016,Georgia,0,1
106117,2016,Ohio,0,0
106118,2016,Georgia,0,2
106119,2016,Georgia,0,1
106120,2016,Georgia,0,0
106121,2016,Illinois,1,0
106122,2016,California,0,1
106123,2016,Ohio,1,0
106124,2016,North Carolina,1,0
106125,2016,California,0,1
106126,2016,Maine,0,0
106127,2016,California,0,1
106128,2016,Ohio,0,0
106129,2016,Georgia,0,0
106130,2016,Georgia,0,0
106131,2016,Georgia,0,1
106132,2016,Georgia,0,2
106133,2016,Alabama,1,0
106134,2016,Georgia,0,0
106135,2016,California,0,0
106136,2016,Alabama,0,1
106137,2016,Alabama,0,0
106138,2016,Arkansas,0,0
106139,2016,Arkansas,0,0
106140,2016,Mississippi,0,2
106141,2016,Mississippi,1,0
106142,2016,Illinois,0,1
106143,2016,South Carolina,0,1
106144,2016,Missouri,0,0
106145,2016,Florida,0,1
106146,2016,Florida,1,1
106147,2016,North Carolina,1,0
106148,2016,California,0,1
106149,2016,Illinois,0,1
106150,2016,Indiana,0,2
106151,2016,Alabama,0,1
106152,2016,Georgia,0,2
106153,2016,Alabama,0,1
106154,2016,Illinois,0,1
106155,2016,New York,0,1
106156,2016,Maryland,0,0
106157,2016,Florida,0,1
106158,2016,Florida,0,2
106159,2016,South Carolina,1,0
106160,2016,Florida,1,0
106161,2016,Massachusetts,0,0
106162,2016,Massachusetts,0,0
106163,2016,Oregon,0,0
106164,2016,Texas,0,1
106165,2016,New York,0,1
106166,2016,Oregon,0,0
106167,2016,Texas,0,0
106168,2016,Wyoming,1,0
106169,2016,Wisconsin,1,0
106170,2016,Texas,0,0
106171,2016,Pennsylvania,2,1
106172,2016,New Hampshire,0,0
106173,2016,Connecticut,0,1
106174,2016,Arizona,0,1
106175,2016,Texas,0,1
106176,2016,Iowa,0,1
106177,2016,New York,0,1
106178,2016,North Carolina,0,0
106179,2016,New York,0,1
106180,2016,New York,0,1
106181,2016,Maryland,1,0
106182,2016,Alabama,0,3
106183,2016,Pennsylvania,0,0
106184,2016,Pennsylvania,0,1
106185,2016,Tennessee,0,1
106186,2016,Missouri,0,0
106187,2016,Texas,0,1
106188,2016,Tennessee,0,1
106189,2016,New York,0,1
106190,2016,New Mexico,0,0
106191,2016,Missouri,1,0
106192,2016,New Hampshire,0,0
106193,2016,Oklahoma,1,0
106194,2016,Louisiana,0,1
106195,2016,New Jersey,0,0
106196,2016,Michigan,0,0
106197,2016,New Jersey,1,0
106198,2016,Virginia,1,1
106199,2016,New York,0,0
106200,2016,Illinois,0,1
106201,2016,Illinois,0,1
106202,2016,District of Columbia,0,1
106203,2016,District of Columbia,0,1
106204,2016,Delaware,0,1
106205,2016,Delaware,0,1
106206,2016,Indiana,0,0
106207,2016,Maryland,0,1
106208,2016,North Carolina,0,0
106209,2016,Indiana,0,1
106210,2016,North Carolina,0,0
106211,2016,Illinois,0,3
106212,2016,Illinois,1,1
106213,2016,Texas,1,0
106214,2016,Illinois,0,1
106215,2016,Virginia,0,1
106216,2016,North Carolina,1,1
106217,2016,Nevada,0,2
106218,2016,Illinois,0,1
106219,2016,Colorado,0,0
106220,2016,Florida,1,2
106221,2016,Massachusetts,0,0
106222,2016,Michigan,0,0
106223,2016,Massachusetts,0,0
106224,2016,Illinois,0,1
106225,2016,Virginia,0,1
106226,2016,Connecticut,0,0
106227,2016,Connecticut,0,0
106228,2016,Virginia,0,0
106229,2016,Massachusetts,1,0
106230,2016,Georgia,0,0
106231,2016,Massachusetts,0,0
106232,2016,Illinois,0,2
106233,2016,Virginia,1,0
106234,2016,New York,0,0
106235,2016,Georgia,0,0
106236,2016,New Jersey,1,0
106237,2016,Tennessee,1,0
106238,2016,Tennessee,2,1
106239,2016,Mississippi,0,2
106240,2016,Florida,0,0
106241,2016,Georgia,0,1
106242,2016,Illinois,0,0
106243,2016,Georgia,0,0
106244,2016,Florida,0,1
106245,2016,Wyoming,0,1
106246,2016,Georgia,0,1
106247,2016,Tennessee,1,0
106248,2016,Pennsylvania,0,0
106249,2016,Massachusetts,0,0
106250,2016,Hawaii,0,0
106251,2016,Kentucky,0,0
106252,2016,Virginia,1,0
106253,2016,Georgia,1,0
106254,2016,Florida,1,1
106255,2016,Louisiana,0,0
106256,2016,Georgia,0,1
106257,2016,Michigan,0,0
106258,2016,Minnesota,0,0
106259,2016,Alabama,0,2
106260,2016,Arkansas,0,2
106261,2016,Kentucky,0,0
106262,2016,Missouri,1,0
106263,2016,Arkansas,0,2
106264,2016,Louisiana,1,0
106265,2016,Texas,0,1
106266,2016,Minnesota,0,0
106267,2016,Florida,0,1
106268,2016,California,0,0
106269,2016,Oregon,0,0
106270,2016,New Jersey,0,0
106271,2016,Texas,0,0
106272,2016,Idaho,0,0
106273,2016,Massachusetts,0,0
106274,2016,Pennsylvania,1,1
106275,2016,Kansas,0,0
106276,2016,Ohio,0,1
106277,2016,Virginia,1,0
106278,2016,Ohio,0,0
106279,2016,Texas,0,0
106280,2016,Ohio,0,1
106281,2016,Illinois,1,1
106282,2016,Oregon,0,1
106283,2016,Nevada,0,0
106284,2016,Texas,0,1
106285,2016,Virginia,0,0
106286,2016,Minnesota,0,0
106287,2016,Wisconsin,0,1
106288,2016,Pennsylvania,0,0
106289,2016,Ohio,0,2
106290,2016,Florida,0,1
106291,2016,Ohio,0,1
106292,2016,Nevada,0,0
106293,2016,Ohio,2,0
106294,2016,Illinois,1,0
106295,2016,Kansas,0,0
106296,2016,North Carolina,0,2
106297,2016,Texas,0,1
106298,2016,Nevada,0,2
106299,2016,South Carolina,0,0
106300,2016,Hawaii,0,0
106301,2016,Massachusetts,0,0
106302,2016,Kentucky,0,0
106303,2016,Oklahoma,1,0
106304,2016,Massachusetts,0,1
106305,2016,Iowa,1,0
106306,2016,Kentucky,0,0
106307,2016,Virginia,0,1
106308,2016,Connecticut,0,1
106309,2016,Kansas,0,0
106310,2016,Missouri,0,0
106311,2016,California,0,0
106312,2016,Kentucky,0,0
106313,2016,Nevada,0,0
106314,2016,New Jersey,0,0
106315,2016,Colorado,1,0
106316,2016,Texas,1,0
106317,2016,Indiana,0,1
106318,2016,Arkansas,1,0
106319,2016,New Hampshire,0,1
106320,2016,Nebraska,1,0
106321,2016,South Carolina,0,0
106322,2016,Nebraska,0,0
106323,2016,Wisconsin,0,0
106324,2016,Missouri,0,0
106325,2016,South Carolina,1,0
106326,2016,Missouri,0,1
106327,2016,Wisconsin,0,0
106328,2016,Florida,0,1
106329,2016,Florida,0,1
106330,2016,South Carolina,0,1
106331,2016,Florida,0,3
106332,2016,Louisiana,0,1
106333,2016,Florida,0,1
106334,2016,Texas,0,0
106335,2016,District of Columbia,0,1
106336,2016,Alabama,0,0
106337,2016,North Carolina,0,1
106338,2016,Mississippi,0,0
106339,2016,Maryland,0,1
106340,2016,New Jersey,0,0
106341,2016,District of Columbia,0,1
106342,2016,District of Columbia,0,0
106343,2016,New Jersey,1,0
106344,2016,New York,0,0
106345,2016,California,0,1
106346,2016,Texas,0,1
106347,2016,New York,0,1
106348,2016,New York,0,1
106349,2016,Ohio,1,0
106350,2016,New York,0,0
106351,2016,Mississippi,0,0
106352,2016,Georgia,0,0
106353,2016,California,0,3
106354,2016,Louisiana,1,0
106355,2016,Georgia,0,0
106356,2016,California,0,1
106357,2016,Georgia,0,0
106358,2016,California,0,0
106359,2016,California,0,1
106360,2016,Illinois,0,0
106361,2016,Alabama,0,0
106362,2016,California,0,1
106363,2016,California,0,1
106364,2016,South Carolina,0,0
106365,2016,Georgia,1,0
106366,2016,Illinois,0,0
106367,2016,California,0,1
106368,2016,Louisiana,0,0
106369,2016,Tennessee,0,0
106370,2016,Virginia,1,1
106371,2016,Illinois,0,1
106372,2016,Mississippi,0,0
106373,2016,Texas,0,0
106374,2016,Texas,0,0
106375,2016,Texas,0,1
106376,2016,Missouri,0,0
106377,2016,North Carolina,0,0
106378,2016,North Carolina,1,0
106379,2016,Ohio,0,1
106380,2016,North Carolina,0,1
106381,2016,Alabama,0,1
106382,2016,Georgia,0,0
106383,2016,Louisiana,0,0
106384,2016,Tennessee,1,0
106385,2016,Illinois,0,1
106386,2016,North Carolina,0,1
106387,2016,California,0,1
106388,2016,Illinois,0,1
106389,2016,Texas,0,0
106390,2016,Illinois,0,1
106391,2016,Texas,0,0
106392,2016,Arizona,0,0
106393,2016,California,0,1
106394,2016,California,0,1
106395,2016,New York,1,0
106396,2016,New York,0,1
106397,2016,New York,0,1
106398,2016,Colorado,0,1
106399,2016,Ohio,1,0
106400,2016,Arkansas,0,0
106401,2016,Arizona,0,1
106402,2016,New York,0,0
106403,2016,California,0,1
106404,2016,Idaho,0,1
106405,2016,Texas,0,0
106406,2016,Illinois,0,1
106407,2016,Georgia,0,1
106408,2016,Illinois,0,1
106409,2016,Alaska,0,1
106410,2016,Indiana,0,0
106411,2016,California,0,0
106412,2016,Louisiana,0,0
106413,2016,California,0,1
106414,2016,Florida,0,0
106415,2016,West Virginia,0,0
106416,2016,Colorado,0,0
106417,2016,Oregon,1,0
106418,2016,Georgia,0,0
106419,2016,Mississippi,1,0
106420,2016,Michigan,0,0
106421,2016,Illinois,0,1
106422,2016,California,0,0
106423,2016,New Hampshire,0,0
106424,2016,Pennsylvania,0,1
106425,2016,Pennsylvania,0,1
106426,2016,Tennessee,0,1
106427,2016,Massachusetts,0,0
106428,2016,Pennsylvania,0,2
106429,2016,Kentucky,0,0
106430,2016,Massachusetts,0,0
106431,2016,Indiana,1,0
106432,2016,Massachusetts,0,0
106433,2016,Connecticut,0,0
106434,2016,Pennsylvania,0,1
106435,2016,Indiana,1,0
106436,2016,Illinois,0,1
106437,2016,Pennsylvania,0,1
106438,2016,Texas,0,1
106439,2016,Colorado,0,1
106440,2016,Indiana,0,1
106441,2016,Kansas,0,0
106442,2016,California,1,0
106443,2016,Texas,0,0
106444,2016,Texas,0,1
106445,2016,Missouri,0,0
106446,2016,Texas,0,0
106447,2016,Colorado,0,0
106448,2016,Georgia,0,0
106449,2016,Connecticut,0,0
106450,2016,Indiana,1,0
106451,2016,Wyoming,0,0
106452,2016,Alabama,2,1
106453,2016,Kansas,1,0
106454,2016,Massachusetts,0,0
106455,2016,Virginia,0,1
106456,2016,Maine,0,0
106457,2016,Alaska,2,0
106458,2016,Texas,1,0
106459,2016,Oregon,0,0
106460,2016,Illinois,0,1
106461,2016,Louisiana,1,0
106462,2016,Nebraska,1,0
106463,2016,Wisconsin,0,0
106464,2016,Connecticut,0,1
106465,2016,Washington,0,0
106466,2016,Colorado,0,0
106467,2016,Alabama,0,1
106468,2016,Alabama,0,0
106469,2016,Alabama,0,0
106470,2016,Hawaii,1,0
106471,2016,North Carolina,1,0
106472,2016,North Carolina,0,0
106473,2016,Oklahoma,0,1
106474,2016,North Carolina,0,0
106475,2016,Texas,0,0
106476,2016,Wisconsin,1,0
106477,2016,New York,0,1
106478,2016,New Jersey,0,0
106479,2016,Ohio,1,0
106480,2016,New Jersey,0,0
106481,2016,South Carolina,0,1
106482,2016,Nevada,0,1
106483,2016,Wisconsin,0,0
106484,2016,Kentucky,0,0
106485,2016,Ohio,0,0
106486,2016,Colorado,0,1
106487,2016,Washington,1,0
106488,2016,Louisiana,0,1
106489,2016,Tennessee,0,0
106490,2016,Tennessee,1,0
106491,2016,Texas,0,1
106492,2016,Ohio,2,0
106493,2016,Texas,1,0
106494,2016,Ohio,0,1
106495,2016,Missouri,0,3
106496,2016,Missouri,0,1
106497,2016,California,2,0
106498,2016,Kansas,0,0
106499,2016,Oklahoma,0,1
106500,2016,Alaska,0,0
106501,2016,Arizona,1,0
106502,2016,South Dakota,0,0
106503,2016,Alabama,0,0
106504,2016,Alabama,0,0
106505,2016,Illinois,2,1
106506,2016,Illinois,0,1
106507,2016,Tennessee,0,0
106508,2016,Connecticut,1,0
106509,2016,Florida,1,1
106510,2016,Colorado,0,0
106511,2016,Montana,0,0
106512,2016,Illinois,0,0
106513,2016,California,1,0
106514,2016,Colorado,0,0
106515,2016,Ohio,0,1
106516,2016,Alabama,1,0
106517,2016,New Jersey,0,1
106518,2016,New Jersey,0,1
106519,2016,California,1,0
106520,2016,California,0,1
106521,2016,Connecticut,1,0
106522,2016,Illinois,1,0
106523,2016,Indiana,0,1
106524,2016,Pennsylvania,1,0
106525,2016,Illinois,1,0
106526,2016,Maryland,0,1
106527,2016,Michigan,0,1
106528,2016,California,1,0
106529,2016,Michigan,0,0
106530,2016,Michigan,0,0
106531,2016,Missouri,0,0
106532,2016,California,1,0
106533,2016,Ohio,0,2
106534,2016,Texas,0,0
106535,2016,South Carolina,0,0
106536,2016,New Jersey,0,1
106537,2016,Missouri,0,0
106538,2016,North Carolina,0,1
106539,2016,Alabama,0,1
106540,2016,Texas,0,0
106541,2016,Massachusetts,0,0
106542,2016,Illinois,0,0
106543,2016,Connecticut,0,1
106544,2016,California,0,0
106545,2016,Tennessee,0,1
106546,2016,Georgia,0,1
106547,2016,Arkansas,1,0
106548,2016,Minnesota,0,0
106549,2016,Georgia,0,1
106550,2016,Connecticut,0,0
106551,2016,New Mexico,0,1
106552,2016,Colorado,0,1
106553,2016,Georgia,1,0
106554,2016,Virginia,1,0
106555,2016,Massachusetts,0,0
106556,2016,Tennessee,0,1
106557,2016,Colorado,0,0
106558,2016,New Mexico,0,1
106559,2016,Illinois,0,1
106560,2016,Texas,1,0
106561,2016,Florida,0,0
106562,2016,California,0,0
106563,2016,California,0,0
106564,2016,North Carolina,0,1
106565,2016,New York,0,0
106566,2016,California,0,0
106567,2016,Georgia,1,1
106568,2016,California,0,0
106569,2016,Mississippi,0,1
106570,2016,New Jersey,0,1
106571,2016,Tennessee,0,0
106572,2016,Ohio,0,1
106573,2016,Illinois,1,0
106574,2016,Mississippi,0,0
106575,2016,District of Columbia,0,0
106576,2016,California,0,1
106577,2016,California,0,0
106578,2016,New York,0,3
106579,2016,New York,0,0
106580,2016,Illinois,0,1
106581,2016,Illinois,0,1
106582,2016,California,0,1
106583,2016,Illinois,0,2
106584,2016,New York,0,2
106585,2016,Arkansas,0,0
106586,2016,New York,0,0
106587,2016,Florida,0,1
106588,2016,New York,0,0
106589,2016,Arkansas,0,1
106590,2016,North Carolina,1,1
106591,2016,New York,1,0
106592,2016,Arkansas,0,1
106593,2016,Missouri,1,0
106594,2016,Arkansas,0,1
106595,2016,Georgia,2,0
106596,2016,California,0,1
106597,2016,Oklahoma,1,1
106598,2016,Florida,0,1
106599,2016,South Carolina,1,0
106600,2016,Texas,1,0
106601,2016,Maryland,0,0
106602,2016,Maryland,0,0
106603,2016,New Hampshire,0,0
106604,2016,Maryland,1,0
106605,2016,Alaska,0,0
106606,2016,Kentucky,1,0
106607,2016,Illinois,1,0
106608,2016,Alaska,0,0
106609,2016,Ohio,0,1
106610,2016,Michigan,1,0
106611,2016,Idaho,0,0
106612,2016,California,0,0
106613,2016,New Jersey,0,0
106614,2016,Ohio,1,0
106615,2016,Kansas,0,0
106616,2016,Georgia,0,0
106617,2016,Virginia,1,0
106618,2016,Alaska,0,0
106619,2016,Massachusetts,0,0
106620,2016,Missouri,1,0
106621,2016,West Virginia,0,0
106622,2016,Ohio,0,0
106623,2016,Texas,0,1
106624,2016,Massachusetts,0,0
106625,2016,Kansas,0,0
106626,2016,Georgia,0,0
106627,2016,Massachusetts,0,0
106628,2016,Massachusetts,0,0
106629,2016,Virginia,0,0
106630,2016,Massachusetts,0,0
106631,2016,Rhode Island,0,1
106632,2016,Texas,0,1
106633,2016,Alaska,0,0
106634,2016,Louisiana,0,1
106635,2016,South Carolina,1,0
106636,2016,Louisiana,0,1
106637,2016,Michigan,1,0
