incident_id,year,state,deaths,injuries
1547735,2019,Kansas,1,0
1547323,2019,South Carolina,1,0
1546480,2019,Pennsylvania,1,0
1547956,2019,New Mexico,1,0
1548518,2019,Arkansas,1,0
1550200,2019,Washington,1,0
1550449,2019,Indiana,1,0
1550315,2019,South Carolina,1,0
1553489,2019,Pennsylvania,1,0
1551411,2019,New York,1,0
1551972,2019,Missouri,1,0
1552316,2019,Ohio,1,0
1553173,2019,Texas,1,0
1553858,2019,Mississippi,1,0
1539761,2019,Texas,1,0
1553904,2019,Missouri,1,0
1551098,2019,South Carolina,1,0
1555823,2019,Georgia,1,0
1560553,2019,South Carolina,1,0
1556629,2019,Illinois,1,2
1562185,2019,Pennsylvania,1,0
1556110,2019,Virginia,1,0
1558811,2019,Texas,1,0
1558197,2019,Florida,1,0
1558906,2019,Florida,2,0
1559906,2019,Indiana,1,0
1559758,2019,Texas,1,0
1559859,2019,California,1,0
1556829,2019,Texas,1,0
1559714,2019,Texas,1,0
1564937,2019,Florida,4,1
1561284,2019,Texas,1,0
1561428,2019,Tennessee,1,0
1562990,2019,Tennessee,1,0
1562043,2019,Louisiana,2,3
1563695,2019,Pennsylvania,1,0
1563712,2019,Pennsylvania,1,0
1555673,2019,Mississippi,1,0
1566391,2019,Arizona,1,0
1563677,2019,Ohio,1,0
1560369,2019,Virginia,1,0
1566963,2019,New York,1,0
1560557,2019,Maine,1,0
1585456,2019,Tennessee,1,0
1570510,2019,Tennessee,1,0
1571392,2019,Florida,1,0
1571231,2019,Arizona,1,0
1599014,2019,California,1,0
1573283,2019,Illinois,1,0
1572029,2019,Ohio,1,0
1572059,2019,Ohio,1,0
1575325,2019,Texas,1,2
1576476,2019,Maine,1,0
1575830,2019,Georgia,1,0
1567437,2019,Tennessee,1,0
1577363,2019,Texas,1,0
1578303,2019,California,1,0
1577786,2019,California,1,0
1574918,2019,Pennsylvania,1,0
1577156,2019,Texas,1,0
1577876,2019,Texas,1,0
1580278,2019,Alabama,1,0
1580445,2019,Texas,1,0
1582882,2019,Missouri,1,0
1583856,2019,Oklahoma,1,0
1577046,2019,Mississippi,1,6
1570654,2019,Florida,1,0
1694769,2020,Ohio,1,0
1705213,2020,Louisiana,2,0
1706543,2020,Florida,1,0
1703413,2020,Indiana,1,0
1699759,2020,Tennessee,1,0
1702223,2020,Ohio,1,0
1701008,2020,Texas,1,0
2074835,2020,Texas,1,0
1699231,2020,Alabama,1,0
1706994,2020,Iowa,2,2
1698779,2020,Alabama,1,0
1699338,2020,Illinois,1,0
1698223,2020,Alabama,1,0
1701717,2020,North Carolina,1,0
1707413,2020,Texas,1,0
1697079,2020,Michigan,1,0
1709551,2020,Minnesota,1,0
1681557,2020,Georgia,1,0
1682002,2020,Arizona,1,0
1696520,2020,Utah,1,0
1803039,2020,Kansas,1,0
1680189,2020,Florida,1,0
1682808,2020,Alabama,1,0
1684263,2020,West Virginia,1,0
1707253,2020,Illinois,1,1
1682456,2020,Florida,1,0
1708789,2020,Indiana,1,0
1709730,2020,Florida,1,0
1711149,2020,Texas,1,0
1708771,2020,Georgia,1,0
1710590,2020,Mississippi,1,0
1708053,2020,Michigan,1,0
1706703,2020,Indiana,2,0
1695493,2020,Kentucky,1,0
1696153,2020,Massachusetts,1,0
1655629,2020,New York,1,0
1710081,2020,Iowa,1,0
1659684,2020,Ohio,1,0
1654672,2020,Texas,1,0
1654616,2020,South Carolina,1,0
1653288,2020,Florida,1,0
