State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
Missouri,2014,0.463,88.02353163,10.4,44,6063589,68886,442.9,6.6,5.39,39.2,28.1,92.2,304.8,9,0.1484269465,1,9.7,16.77,57.84,1,0.01649188294,14458,238.4396436,29,6,17.5,11.5,3.8,41,42,2.4,31,88,26.7,1717559,28325.78197,1.29,8,70.44,36,6,62.9,59.3,60.8,48.3,45.7,0.415,592992,9.77955465,42.9,6,0,0,0,1,0,1.26
Montana,2014,0.454,7.032393921,12,39,1023579,145552,323.7,3.6,1.37,52.9,42,19.8,247.4,0,0,0,14.56,24.53,59.36,0,0,1435,140.1943573,23,7,15,0.5,3.2,49,30,3.08,39,92.4,29.1,832879,81369.29343,4.89,10,55.89,28,7,33.1,52.3,56.1,43,55,0.357,69488,6.788728569,45.2,1,1,0,0,0,1,0.79
Nebraska,2014,0.435,24.47579093,11.8,21,1881503,76872,280.4,2.9,2.07,45.8,33,55.4,176.2,0,0,0,7.06,13.33,52.96,0,0,3644,193.6749503,34,18,26,4.7,9.7,47,36,2.29,27,90.5,29,368167,19567.70731,1.87,8,73.13,25,7,60,62.9,64.3,41.6,34.3,0.399,74139,3.940413595,41.7,6,0,0,0,1,0,1.27
Nevada,2014,0.443,25.8508823,17,29,2839099,109826,635.6,6,3.73,47.8,35,209.7,372.1,4,0.1408897682,1,10.89,20.19,53.94,2,0.0704448841,5501,193.7586537,22,43,32.5,8.3,27.2,37,46,3.36,51,84.9,22.5,100011,3522.631652,2.41,8,94.2,20,1,46.4,31.8,55.8,44,61.3,0.404,107699,3.793421786,35.7,2,1,0,0,0,1,1.98
New Hampshire,2014,0.441,147.9497101,7.2,22,1326813,8968,196.1,0.9,0,44.8,34.5,40.5,110,0,0,0,8.28,18.6,44.52,1,0.07536857116,2583,194.6770193,5,3,4,1.2,3.1,35,46,4.55,20,92,34.4,174723,13168.62286,0.76,9,60.3,13,1,40.2,53.5,38,61.8,48.7,0.396,65400,4.929104554,36.9,1,0,0,1,0,0,0.89
New Jersey,2014,0.476,1205.09303,11.3,3,8938175,7417,261.2,3.9,2.96,14.3,10.7,117.5,125.6,6,0.06712779734,1,2.17,8.79,24.69,1,0.01118796622,29668,331.9245819,46,41,43.5,13.5,18.6,30,51,2.37,6,88.4,36.4,268559,3004.629021,0.14,5,94.68,13,1,59.9,44.6,40.8,56.4,57.6,0.437,302160,3.380555874,29.6,4,0,0,1,0,0,0.9
New Mexico,2014,0.477,17.18556973,20,34,2085572,121356,597.4,4.8,3.64,70.7,51.4,100,421.8,1,0.04794847649,1,11.7,21.53,54.34,0,0,3341,160.1958599,28,13,20.5,2,47,37,48,2.42,22,84,26.1,192345,9222.64971,1.5,8,77.43,23,4,32.4,45.4,58.5,51.6,62,0.341,80953,3.881573017,37.1,1,1,0,0,0,1,1.71
New York,2014,0.511,418.2282162,14,5,19746227,47214,381.8,3.1,1.88,27.5,19.8,121.8,229.4,14,0.07089962047,1,2.4,8.61,27.87,4,0.02025703442,58370,295.6007748,42,47,44.5,15.6,18.2,28,53,2.19,12,85.4,33.7,1034742,5240.201077,0.39,5,87.87,10,1,47,29.8,37.7,62.7,64.5,0.411,783452,3.967603533,29.3,4,0,0,1,0,0,0.62
North Carolina,2014,0.475,204.1420624,17.1,29,9943964,48711,329.5,5.1,3.93,24.3,17.5,84.6,215.4,3,0.03016905532,1,7.65,13.6,56.25,2,0.02011270355,23980,241.1513155,33,24,28.5,21.5,8.7,41,43,2.06,33,85.4,27.8,327394,3292.389232,1.03,8,66.09,35,6,51,63.6,68.4,44.8,49.6,0.425,1123757,11.3008957,40,6,1,1,0,0,0,1.06
North Dakota,2014,0.466,10.72085943,9.7,27,739482,68976,265.1,3,0,48.4,37.3,23.4,190.3,0,0,0,11.49,18.51,62.07,0,0,1593,215.421065,12,10,11,1.5,2.6,50,33,3.41,8,91.3,27.3,433746,58655.38309,1.57,8,59.9,22,8,52.4,52.4,51.4,49.6,21.8,0.391,21438,2.899056366,42.9,1,0,0,0,1,0,0.28
Ohio,2014,0.464,283.1435723,15.6,19,11594163,40948,284.9,4,3.64,43.5,35.3,110,127.4,7,0.06037520777,1,6.42,12.86,49.92,1,0.008625029681,9616,82.93828541,30,27,28.5,12.2,3.3,42,40,2.03,26,88.8,25.6,1068105,9212.437327,0.75,7,77.92,29,5,54.6,45.9,46.5,58.5,46,0.421,924887,7.977177826,37.9,6,0,0,0,1,0,0.78
Oklahoma,2014,0.466,56.47619672,17.3,24,3878051,68667,406,4.5,4.05,45.8,32.9,78.6,277,2,0.05157229753,1,11.21,18.97,59.09,0,0,6897,177.847068,27,24,25.5,7.3,9.4,45,40,1.91,24,86.7,23.8,273978,7064.837466,1.44,9,66.24,47,6,39.7,54.3,54.7,52.1,42.2,0.399,356894,9.202921777,45,7,1,1,0,0,0,1.94
Oregon,2014,0.462,41.35794869,14.4,18,3970239,95997,232.3,2,1.33,36.7,26.5,52.7,140.8,2,0.05037480111,1,10.63,19.69,53.99,0,0,6356,160.0911179,26,36,31,1.8,12.1,42,47,2.69,49,89.5,30.1,1191905,30020.98866,2.59,9,81.03,29,2,30.9,59.1,45.8,39.5,58.8,0.343,190195,4.790517649,33.6,2,1,0,0,0,1,1.2
